"totalQtyOwned","name","printNumber","finish","variant","expansion","game","condition","language","price","riotId"
"3","Noxus Hopeful","012","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.28",""
"1","The Arena's Greatest","290","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.33",""
"3","Catalyst of Aeons","138","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.66",""
"3","Void Seeker","024","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.22",""
"1","Volibear - Relentless Storm","249","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.26",""
"3","Nocturne - Horrifying","194","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","4.55",""
"1","Volibear - Furious","041","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","3.01",""
"1","Stormbringer","250","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","9.27",""
"3","Stacked Deck","183","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","7.96",""
"4","Rhasa the Sunderer","195","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","2.90",""
"16","Body Rune","126","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.14",""
"27","Fury Rune","007","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.15",""
"18","Chaos Rune","166","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.20",""
"3","Mobilize","134","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.14",""
"2","Cleave","004","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.16",""
"3","Flame Chompers","006","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.06",""
"1","Jinx - Demolitionist","030","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.27",""
"2","Get Excited!","008","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.11",""
"2","Sky Splitter","014","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.12",""
"1","Sigil of the Storm","287","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.26",""
"1","Aspirant's Climb","276","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.22",""
"3","Chemtech Enforcer","003","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.04",""
"1","Against the Odds","001","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.12",""
"1","Ribbon Dancer","038","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.06",""
"1","Frostcoat Cub","067","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.06",""
"1","Bushwhack","004","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.09",""
"2","Sea Monkey","098","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.07",""
"1","Treasure Hunter","130","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.12",""
"2","Laurent Duelist","156","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.03",""
"1","Angle Shot","011","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.13",""
"1","Strike Down","107","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.10",""
"1","Perched Grimwyrm","015","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.10",""
"1","Renata Glasc - Chem-Baroness","201","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.14",""
"1","Fizz - Trickster","140","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.65",""
"1","Ezreal - Dashing (Alternate Art)","082a","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","1.32",""
"2","Wages of Pain","070","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.13",""
"1","Void Drone","010","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.11",""
"1","Doran's Shield","033","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.14",""
"1","Honest Broker","155","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.15",""
"1","Combat Chef","092","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.06",""
"2","Doran's Ring","124","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.11",""
"1","Guards!","154","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.10",""
"1","Brutalizer","042","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.32",""
"1","Beast Below","132","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.12",""
"1","Rockfall Path","216","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.09",""
"1","Forge of the Fluft","208","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.35",""
"1","Marching Orders","114","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.20",""
"1","Dunebreaker","027","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","2.50",""
"2","Serrated Dirk","009","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.06",""
"1","Royal Entourage","039","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.07",""
"1","Gearhead","068","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.04",""
"1","Yordle Explorer","100","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.05",""
"2","Corrupt Enforcer","123","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.04",""
"2","Sandshifter","158","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.08",""
"2","Laurent Bladekeeper","096","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.05",""
"1","Legion Quartermaster","044","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.09",""
"1","Ravenbloom Conservatory","215","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.14",""
